NoOfEvals,UndxMggKTabletP14K5_0,UndxMggKTabletP14K5_1,UndxMggKTabletP14K5_2
235100,38.260757522045544,56.16335742482386,43.75709723663067
236100,38.260757522045544,54.999817697250855,43.75709723663067
237100,38.260757522045544,54.999817697250855,43.75709723663067
238100,38.260757522045544,54.999817697250855,43.75709723663067
239100,38.260757522045544,54.999817697250855,43.75709723663067
240100,38.260757522045544,54.999817697250855,43.75709723663067
241100,38.260757522045544,50.63585197237985,43.75709723663067
242100,31.067370865778866,32.83966952944735,39.550096912853796
243100,31.067370865778866,32.83966952944735,39.550096912853796
244100,31.067370865778866,32.83966952944735,38.579216475807286
245100,31.067370865778866,32.83966952944735,34.36179409957288
246100,31.067370865778866,32.83966952944735,34.36179409957288
247100,31.067370865778866,32.83966952944735,34.36179409957288
248100,31.067370865778866,32.83966952944735,34.36179409957288
249100,31.067370865778866,32.83966952944735,34.36179409957288
250100,31.067370865778866,32.83966952944735,34.36179409957288
251100,31.067370865778866,30.578878562356955,34.36179409957288
252100,31.067370865778866,30.578878562356955,34.36179409957288
253100,31.067370865778866,30.578878562356955,34.36179409957288
254100,31.067370865778866,30.578878562356955,34.36179409957288
255100,31.067370865778866,22.561559534357816,34.36179409957288
256100,31.067370865778866,22.561559534357816,34.36179409957288
257100,31.067370865778866,22.561559534357816,34.36179409957288
258100,31.067370865778866,22.561559534357816,34.36179409957288
259100,31.067370865778866,22.561559534357816,34.36179409957288
260100,26.14633999886248,22.561559534357816,31.75230375414129
261100,22.897319760487466,22.561559534357816,31.75230375414129
